model,optimizer,detector_type,detector,ood_dataset,auroc,fpr95,aupr_in,run_id,raw_import_path
SGD Nesterov,sgd_nesterov,feature,gmm_ddu_diag,cifar100,0.90739846,0.5049,0.9136539574386447,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,gmm_ddu_diag,mnist,0.8850468,0.7662,0.915071821174131,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,gmm_ddu_diag,svhn,0.9496264309311616,0.3723878303626306,0.9335138008978615,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,gmm_ddu_diag,tiny_imagenet,0.902043555,0.483,0.8995446469705731,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,gmm_ddu_shrinkage,cifar100,0.909301465,0.4832,0.9144032147166159,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,gmm_ddu_shrinkage,mnist,0.92440056,0.5239,0.9419717226620643,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,gmm_ddu_shrinkage,svhn,0.9804223263675477,0.1205439459127228,0.964388551481348,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,gmm_ddu_shrinkage,tiny_imagenet,0.90237749,0.4745,0.9009010872531045,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,gmm_ddu_tied,cifar100,0.87224182,0.5572,0.8725380356468257,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
SGD Nesterov,sgd_nesterov,feature,gmm_ddu_tied,mnist,0.956868675,0.2676,0.9646575904007524,20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0,results/raw/wrn350_seed0_eval_20260525/20260519_1954_hypatia_cifar10_standard-wrn-28-10-dropout03_sgd-nesterov_seed0
